Carnet,Final
199819115,-2
200710721,15
200717835,12
200817684,-2
200910790,-2
200915877,13
200915932,-1
200915940,-2
200916076,4
200918238,-2
200921961,13
200942698,16
201013409,-1
201013444,7
201013474,3
201013480,-2
201013517,7
201013608,-2
201013675,12
201018707,15
201021759,-2
201110186,2
201112052,8
201112080,11
201112128,-1
201112209,11
201112322,19
201112330,21
201119229,15
201210405,12
201210540,-2
201210552,13
201210629,-2
201210639,-2
201210670,18
201210680,10
201210707,11
201210711,6
201210758,-1
201210764,-2
201210772,17
201210779,-2
201210858,8
201210909,-2
201210912,7
201214921,16
201310526,10
201310538,7
201310567,17
201310569,-2
201310599,-2
201310629,10
201310639,14
201310640,9
201310644,10
201310673,-2
201310674,-2
201310691,-2
201310706,9
201310709,-2
201310715,-2
201315397,8
201318161,13
201318166,16
201318180,7
201318211,15
201318281,6
201318322,-1
201318467,16
201318470,14
201321733,16
201321734,19
201321741,16
201321746,11
201321747,12
201321804,14
201322103,14
201400364,5
201400366,-2
201400373,15
201400383,13
201400384,19
201400385,25
201400389,19
201400397,-2
201400435,20
201400438,7
201400440,-2
201400441,11
201400449,20
201400458,13
201400463,13
201400468,17
201400470,26
201400497,20
201400499,14
201400508,13
201400523,10
201400528,-2
201400535,23
201400537,15
201400541,12
201400552,18
201400557,14
201400562,7
201400580,18
201400584,10
201400606,15
201400634,11
201400651,14
201400654,16
201400661,16
201400673,19
201400680,17
201400683,10
201400685,17
201400691,14
201400708,17
201400756,16
201400785,20
201400788,21
201407914,9
201407943,14
201407955,17
201407959,13
201407970,19
201407984,13
201407988,10
201408038,18
201413001,16
201413715,8
