Carnet,Final
8818125,24
200011847,24
200210927,-1
200512351,18
200518107,25
200610921,26
200715610,20
200715722,19
200718236,18
200780043,25
200810431,18
200811338,21
200915818,19
200916289,17
200918165,24
200918254,17
200918257,21
200924182,21
201012302,18
201013353,19
201013442,24
201013477,19
201013479,17
201015329,17
201021737,17
201021787,16
201111964,16
201112015,23
201112041,21
201112081,15
201112094,17
201112131,25
201112136,20
201112149,20
201112170,14
201112200,21
201112233,24
201112248,21
201112270,23
201112278,16
201112291,24
201112319,16
201112350,11
201114635,24
201124097,18
201180011,22
201180038,24
201210538,16
201210557,12
201210563,24
201210565,23
201210602,19
201210646,24
201210650,23
201210673,24
201210674,22
201210675,24
201210681,17
201210691,17
201210695,24
201210702,24
201210706,14
201210709,20
201210710,24
201210715,24
201210718,19
201210732,17
201210739,19
201210742,24
201210744,17
201210754,24
201210755,21
201210756,19
201210766,21
201210773,24
201210778,24
201210783,27
201210794,24
201210828,25
201210834,18
201210882,28
201210905,24
201220328,21
201220335,24
201220354,19
201220425,24
201220445,20
201222437,24
201280028,21
