Carnet,Final
200080030,20
200910572,13
200916076,24
201013517,22
201013765,23
201018707,22
201020026,14
201112192,15
201210553,17
201210617,12
201210665,16
201210672,20
201210680,28
201210740,17
201210758,18
201210772,19
201210823,20
201210912,15
201214713,21
201220212,25
201220265,16
201245563,16
201310522,15
201310523,28
201310526,19
201310541,14
201310551,26
201310562,26
201310564,15
201310566,25
201310567,20
201310568,19
201310571,23
201310575,15
201310594,20
201310596,22
201310599,14
201310612,20
201310613,26
201310614,17
201310621,27
201310624,14
201310629,11
201310630,13
201310639,26
201310648,17
201310654,17
201310657,15
201310667,18
201310669,15
201310670,18
201310673,23
201310676,23
201310682,21
201310687,20
201310688,15
201310697,16
201310699,13
201310700,17
201310703,23
201318169,16
201318211,25
201318215,20
201318218,25
201318284,17
201318347,17
201318376,27
201318470,17
201321724,26
201321729,25
201321734,19
201321740,17
201380007,24
201380027,22
201380041,26
