Carnet,Final
199910871,17
200722421,21
200915940,0
200916276,14
201013480,21
201117060,11
201210074,18
201210540,13
201210711,0
201220014,15
201220324,10
201220325,16
201310142,0
201310529,21
201310602,23
201310645,23
201310674,8
201315049,17
201318183,13
201318186,17
201318227,19
201318304,20
201321726,14
201321738,16
201321749,0
201321802,20
201321804,16
201322312,13
201330970,18
201345055,18
201400370,15
201400427,13
201400434,22
201400459,21
201400460,17
201400485,20
201400525,17
201400600,14
201400700,21
201400715,23
201407923,9
201407941,7
201407942,18
201407980,16
201407992,11
201408040,26
201408058,18
201408066,21
201408087,15
201408184,21
201408248,16
201411974,18
201480044,19
201501353,9
201502799,27
201502800,20
201502802,19
201502807,21
201502816,21
201502824,27
201502826,10
201502840,22
201502842,21
201502862,25
201502869,26
201502877,19
201502878,21
201502882,28
201502884,13
201502887,23
201502891,12
201502907,23
201502908,22
201502915,16
201502927,14
201502931,15
201502934,18
201502936,23
201502954,23
201502976,26
201502979,19
201502990,20
201502993,21
201503001,24
201503005,25
201503007,24
201503033,27
201503040,20
201503041,27
201503043,27
201503044,28
201503051,25
201503073,24
201503078,25
201503080,24
201503095,25
201503098,25
201503099,21
201503146,17
201503184,25
201503209,0
201503236,19
201503250,18
201503263,27
201503265,21
201503267,14
201503293,22
201503294,22
201503324,18
201503339,21
201513228,22
201513247,18
201513248,18
201513275,25
201513276,22
201513286,20
201513315,21
201513331,25
201513338,23
201513411,21
201513418,26
201513483,0
201513487,25
201513551,28
201513561,18
201516923,25
201580020,26
201580036,17
201580037,22
