Carnet,Final
200010798,13
200512351,16
200610568,7
200715610,18
200715618,18
200717835,21
200718236,17
200810417,11
200810431,17
200811350,0
200915895,0
200915915,8
200916250,15
200916289,13
200918254,18
200980037,16
201012065,20
201013493,15
201013572,14
201013785,20
201015329,13
201021737,14
201021787,13
201112046,11
201112161,11
201112204,17
201112248,17
201119229,14
201124083,20
201210405,18
201210617,18
201210665,18
201210669,17
201210672,14
201210683,18
201210729,14
201220212,13
201220265,16
201220297,21
201310523,24
201310541,14
201310551,17
201310575,12
201310596,13
201310614,19
201310687,17
201310706,14
201318284,17
201318347,16
201318470,15
201321741,16
201322103,19
201400373,18
201400383,16
201400384,18
201400385,23
201400389,19
201400435,13
201400449,18
201400458,17
201400468,16
201400470,21
201400497,18
201400499,17
201400535,17
201400537,16
201400552,17
201400557,17
201400580,20
201400584,15
201400606,14
201400634,15
201400654,16
201400661,18
201400685,16
201400691,18
201400708,21
201400756,16
201400785,18
201400788,19
201407984,12
201407988,20
201408038,12
201413001,20
