Carnet,Final
200680047,0
200717835,20
200910790,23
200942698,17
201013480,9
201013517,17
201021759,11
201110186,14
201112052,14
201112330,17
201119229,18
201210405,21
201210540,17
201210629,15
201210639,17
201210711,14
201210764,15
201210858,17
201210909,14
201214921,21
201310538,20
201310569,21
201310599,11
201310629,0
201310640,14
201310644,0
201310674,12
201310691,20
201310706,12
201310709,17
201310715,12
201315397,21
201318161,20
201318166,18
201318180,11
201318281,18
201318322,21
201318467,21
201321733,18
201321741,14
201321746,20
201321747,15
201321804,15
201322103,15
201400364,11
201400366,15
201400373,21
201400383,21
201400384,15
201400385,24
201400389,21
201400397,12
201400435,27
201400438,15
201400440,12
201400441,14
201400449,18
201400458,15
201400463,14
201400468,24
201400470,18
201400497,18
201400499,17
201400508,20
201400523,21
201400528,8
201400535,21
201400537,23
201400541,14
201400552,15
201400557,23
201400562,14
201400580,23
201400584,23
201400606,18
201400634,28
201400651,18
201400654,21
201400661,17
201400673,21
201400680,20
201400683,15
201400685,17
201400691,12
201400708,18
201400756,16
201400785,23
201400788,17
201407914,15
201407943,21
201407955,23
201407959,29
201407970,23
201407984,17
201407988,5
201408038,18
201413001,17
201413715,20
