carnet,final
8818125,17
200011847,21
200210927,-2
200313629,15
200313754,14
200512351,19
200512358,19
200518107,21
200610921,15
200614400,14
200614626,18
200715463,17
200715610,19
200715722,15
200715765,15
200718236,15
200780043,18
200810431,19
200810495,15
200810590,18
200811338,19
200811350,-1
200817309,13
200817708,-1
200915818,14
200916289,14
200918192,21
200918257,12
200924182,17
201012302,22
201013353,14
201013442,19
201013475,19
201013477,14
201013479,15
201013609,18
201015329,14
201021737,16
201021787,11
201111964,15
201112015,16
201112041,15
201112081,12
201112094,14
201112131,20
201112136,14
201112149,19
201112170,16
201112200,18
201112233,19
201112248,19
201112278,17
201112291,18
201112319,-1
201112350,16
201114635,18
201124097,15
201180011,-1
201180038,19
201210538,15
201210557,20
201210563,23
201210565,19
201210602,20
201210646,15
201210650,22
201210673,21
201210674,16
201210675,18
201210681,20
201210691,10
201210695,21
201210702,23
201210706,18
201210709,20
201210710,11
201210715,25
201210718,13
201210732,15
201210739,21
201210742,21
201210744,14
201210754,21
201210755,12
201210756,12
201210766,7
201210773,21
201210778,11
201210783,16
201210794,20
201210834,14
201210882,23
201210905,16
201220328,20
201220335,16
201220354,16
201220425,23
201220445,20
201222437,20
201280028,17
