Carnet,Examen final
200110035,11
200210927,9
200317279,14
200413945,-1
200512379,14
200610568,-2
200610588,-1
200715577,16
200715751,6
200715791,19
200717835,19
200718297,9
200810417,8
200817708,18
200910572,15
200915915,9
200916250,15
200918254,16
200980037,13
201013785,16
201015329,-1
201112046,14
201112204,14
201112232,14
201119229,17
201124083,16
201210405,15
201210617,11
201210669,10
201210672,14
201210729,18
201210740,-2
201220212,19
201220265,15
201220309,15
201310523,25
201310566,20
201310596,15
201310630,16
201310682,19
201310687,13
201310706,18
201318284,12
201318467,17
201318470,17
201321734,15
201321741,19
201322103,20
201400373,14
201400383,17
201400384,15
201400385,22
201400389,17
201400435,19
201400449,12
201400458,12
201400468,15
201400470,21
201400497,20
201400499,14
201400508,10
201400535,24
201400537,20
201400552,17
201400557,14
201400580,21
201400584,21
201400606,18
201400634,15
201400651,10
201400654,18
201400661,16
201400680,8
201400685,14
201400708,19
201400756,17
201400785,17
201400788,17
201407984,7
201407988,18
201408038,17
201413001,13
