 carnet,final
9711549,13
200010198,13
200313754,13
200610921,17
200614626,23
200715610,21
200715618,16
200715722,16
200810431,13
200810498,16
200810517,20
200810574,19
200811338,16
200880028,21
200915864,18
201012065,15
201013417,22
201013572,13
201013689,15
201013765,16
201020026,21
201021737,16
201021787,-1
201111964,19
201112081,15
201112149,18
201112184,19
201112248,11
201112270,11
201112350,22
201210553,20
201210562,18
201210642,17
201210645,20
201210673,23
201210674,19
201210682,19
201210691,24
201210705,23
201210732,17
201210766,13
201210823,22
201210847,21
201210870,17
201210897,20
201210900,20
201214713,26
201220297,23
201245563,24
201280026,20
201280027,18
201310522,18
201310541,20
201310551,14
201310562,23
201310564,22
201310568,22
201310571,16
201310594,25
201310612,20
201310613,23
201310621,21
201310648,24
201310654,22
201310657,20
201310667,24
201310669,22
201310670,22
201310676,20
201310688,23
201310697,24
201310699,26
201310700,20
201310703,24
201318169,20
201318215,15
201318218,23
201318376,23
201321724,23
201321729,21
201321740,23
201380007,22
201380027,17
201380041,14
