CARNET,Examen Final
200717835,17
200817572,10
200915860,13
200915981,17
201013391,12
201013675,6
201112209,-1
201119229,13
201214921,16
201220265,22
201310567,14
201318211,8
201321733,13
201321734,10
201321741,17
201321746,9
201321747,10
201322103,17
201400373,16
201400383,19
201400384,14
201400385,23
201400389,14
201400449,20
201400458,17
201400463,12
201400468,22
201400470,20
201400497,19
201400523,14
201400541,15
201400552,15
201400557,17
201400584,25
201400634,13
201400651,17
201400654,17
201400680,16
201400685,14
201400691,15
201400708,19
201400756,17
201400785,19
201407955,18
201407970,19
201407984,11
201407988,12
200515183,19
200710721,15
200715431,13
200810567,-2
200817589,-2
200910572,14
200921961,-2
200942698,22
201018707,15
201112344,-1
201210405,17
201210552,15
201210670,16
201210680,14
201210772,13
201210912,6
201310523,30
201310566,15
201310706,15
201318322,-2
201318467,16
201318470,16
201400435,24
201400499,17
201400508,14
201400535,17
201400537,16
201400580,20
201400606,17
201400661,21
201400788,19
201408038,13
201413001,15
