carnet,Examen final
200680047,18
200916076,-2
200921961,19
201013391,24
201013474,11
201013517,12
201013675,10
201112080,12
201112209,16
201112322,15
201112330,17
201117060,8
201119733,-1
201210639,19
201210670,17
201210779,-1
201210912,16
201310526,11
201310629,17
201310645,13
201310673,12
201310715,13
201315049,21
201315397,20
201318161,12
201318186,9
201321738,14
201321804,8
201330970,13
201345055,9
201400370,10
201400397,14
201400434,14
201400438,16
201400441,8
201400459,10
201400460,-2
201400523,12
201400600,11
201400683,13
201400715,10
201407914,22
201408184,14
201411974,19
201502816,25
201502826,12
201502840,15
201502908,-1
201502976,21
201502979,9
201502990,12
201503001,15
201503051,17
201503073,15
201503078,20
201503080,18
201503095,17
201503098,22
201503146,15
201503184,22
201503294,21
201503324,19
201513275,16
201513276,14
201513286,14
201513338,13
201513411,16
201513487,17
201513551,15
201513561,11
201580036,16
199910871,15
200710721,19
200718286,-1
200916276,13
201013444,12
201013480,12
201210074,20
201210758,15
201210858,13
201220014,11
201310529,15
201310602,8
201310639,11
201310640,15
201310644,17
201318166,15
201318180,15
201318304,20
201318322,9
201321726,8
201321733,21
201321747,-1
201400364,18
201400366,14
201400440,-1
201400485,13
201400528,9
201400541,21
201400562,14
201400673,24
201400691,21
201407943,13
201408040,14
201408248,15
201413715,18
201502800,11
201502802,17
201502807,18
201502824,14
201502842,21
201502862,18
201502869,19
201502877,23
201502878,19
201502882,15
201502907,12
201502915,13
201502931,15
201502934,19
201502936,12
201502954,13
201502993,17
201503005,24
201503007,19
201503033,19
201503040,17
201503041,17
201503043,18
201503044,21
201503099,15
201503236,18
201503250,15
201503263,11
201503265,20
201503293,17
201503339,13
201513228,22
201513247,15
201513315,16
201513331,21
201580020,21
201580037,27
