carnet,final
200317279,10
200413945,0
200413951,17
200614342,7
200715577,-1
200715751,3
200715754,5
200718297,8
200810517,-1
200880004,8
200880028,5
200915864,10
200916113,0
200916250,3
200980037,6
201013493,8
201013689,5
201013765,13
201013785,12
201013807,4
201112204,9
201112232,7
201210562,-1
201210617,12
201210665,13
201210682,18
201210705,16
201210847,12
201210870,10
201214713,16
201220212,7
201220297,12
201280027,9
201310562,16
201310594,16
201310596,16
201310614,11
201310657,16
201310667,7
201310670,21
201310676,20
201310703,17
201318347,11
201321724,15
201321729,10
200715618,10
200810417,6
201012065,4
201013417,12
201020026,10
201112046,-1
201112161,9
201112184,13
201210553,16
201210642,11
201210645,16
201210655,4
201210683,9
201210729,10
201210740,7
201210823,6
201210900,12
201210904,-1
201220309,5
201220355,10
201245563,15
201280026,13
201310522,14
201310541,12
201310551,9
201310564,12
201310568,12
201310571,14
201310575,11
201310612,16
201310613,15
201310621,10
201310648,14
201310654,14
201310669,12
201310682,10
201310688,12
201310697,30
201310699,11
201310700,20
201318169,11
201318215,10
201318218,16
201318376,14
201321740,20
201380007,20
201380027,15
201380041,15
