Carnet,Examen final
200515380,14
200610568,20
200614382,13
200715525,0
200715577,17
200717835,19
200810417,16
200915981,14
200980037,22
201119229,22
201119674,14
201210405,24
201210680,17
201210740,0
201214921,9
201220309,18
201310706,23
201318284,16
201318470,17
201321741,24
201322103,25
201400373,28
201400383,21
201400384,19
201400385,29
201400389,23
201400435,23
201400449,23
201400463,16
201400468,22
201400470,25
201400497,23
201400535,18
201400552,23
201400557,23
201400584,0
201400654,23
201400680,21
201400685,23
201400708,28
201400756,24
201400785,16
201407955,22
201407970,28
201407984,18
200314980,11
200317279,18
200515183,13
200610588,22
200614342,16
200715431,14
200715751,9
200718297,23
200817572,7
200880004,21
200910572,22
200915915,11
200916165,0
200916250,17
200942698,14
201013807,17
201210669,20
201210672,22
201210904,0
201220265,26
201220355,0
201310523,30
201310566,20
201310567,0
201310630,22
201310687,22
201318211,12
201318467,22
201321734,16
201400458,18
201400499,24
201400508,19
201400537,23
201400580,21
201400606,29
201400634,28
201400651,24
201400661,27
201400788,23
201407988,25
201408038,17
201413001,25
