Carnet,Final
9610512,19
199910871,19
200611665,24
200722421,20
201210074,30
201220014,18
201310142,22
201310625,27
201310638,-2
201322543,-1
201330970,19
201340439,30
201345055,30
201400465,30
201404402,20
201407942,18
201408075,19
201408184,30
201408747,18
201411974,21
201501353,30
201502799,30
201502800,30
201502802,24
201502807,20
201502813,25
201502816,30
201502824,19
201502826,18
201502831,21
201502837,-1
201502840,24
201502842,24
201502852,19
201502862,22
201502866,20
201502869,25
201502872,21
201502877,19
201502878,24
201502882,19
201502884,18
201502885,30
201502887,30
201502891,21
201502895,19
201502904,22
201502907,14
201502908,22
201502915,20
201502920,20
201502927,30
201502931,21
201502934,30
201502936,18
201502954,21
201502969,22
201502975,21
201502976,27
201502979,19
201502990,18
201502993,18
201503001,18
201503005,25
201503007,30
201503008,24
201503033,27
201503040,25
201503041,19
201503043,27
201503044,18
201503051,30
201503071,30
201503072,18
201503073,19
201503078,24
201503080,18
201503087,0
201503095,18
201503098,19
201503099,28
201503120,18
201503146,24
201503175,30
201503184,18
201503209,19
201503236,19
201503245,20
201503250,20
201503251,22
201503263,25
201503265,24
201503267,20
201503271,19
201503293,24
201503294,29
201503323,-1
201503324,22
201503334,18
201503339,30
201503348,19
201503359,20
201513211,10
201513228,30
201513238,30
201513240,18
201513241,20
201513247,30
201513248,18
201513275,24
201513276,18
201513286,30
201513315,21
201513331,18
201513332,21
201513338,21
201513341,18
201513372,18
201513376,18
201513411,19
201513418,18
201513467,-2
201513468,19
201513483,30
201513487,28
201513551,25
201513561,30
201516851,24
201516923,25
201516986,20
201517011,10
201580020,10
201580036,30
201580037,22
