carnet,Final
200611665,23
201210074,20
201220014,22
201310142,22
201310625,23
201310641,15
201318155,30
201321823,-1
201330970,20
201340439,28
201345055,28
201400524,21
201400664,21
201400686,-2
201400711,29
201400787,-1
201404042,25
201407929,0
201407942,23
201407948,-2
201407958,-2
201408040,22
201408075,19
201408142,-1
201408184,18
201408747,20
201411974,20
201413685,30
201415299,21
201501353,30
201502799,30
201502800,25
201502802,20
201502807,18
201502813,29
201502816,28
201502824,23
201502826,19
201502831,27
201502840,22
201502842,29
201502852,20
201502862,18
201502866,19
201502869,29
201502872,21
201502877,21
201502878,18
201502882,18
201502884,27
201502885,17
201502887,24
201502891,18
201502895,-1
201502907,22
201502908,27
201502915,21
201502927,19
201502931,26
201502934,22
201502936,23
201502954,26
201502970,30
201502975,24
201502976,29
201502979,22
201502990,26
201502993,17
201503001,20
201503005,27
201503007,30
201503008,24
201503033,26
201503040,24
201503041,19
201503043,18
201503044,26
201503051,27
201503071,26
201503072,30
201503073,26
201503078,20
201503080,30
201503095,14
201503098,28
201503099,24
201503120,21
201503146,18
201503175,30
201503184,18
201503209,21
201503236,26
201503245,23
201503250,24
201503251,24
201503263,26
201503265,22
201503267,18
201503271,18
201503293,23
201503294,30
201503324,21
201503334,26
201503339,22
201503348,20
201503359,30
201513228,18
201513238,20
201513240,12
201513241,21
201513247,25
201513248,21
201513275,23
201513276,23
201513286,18
201513315,22
201513331,24
201513338,30
201513341,20
201513372,30
201513376,18
201513411,30
201513418,25
201513468,20
201513483,26
201513487,27
201513551,21
201513561,27
201516851,18
201516923,27
201516986,8
201580020,18
201580036,30
201580037,30
