Carnet,Final
200810395,0
201018868,30
201110486,30
201115035,30
201119372,18
201119731,0
201404665,30
201407565,28
201407948,30
201407958,20
201408142,30
201430945,23
201431578,10
201502837,30
201502895,30
201503323,0
201512721,21
201513211,30
201513358,30
201513467,0
201513804,30
201515481,20
201516986,26
201603309,26
201603318,30
201603320,30
201603327,26
201603330,30
201603371,30
201603373,30
201603374,30
201603375,30
201603378,30
201603384,30
201603417,30
201603418,30
201603419,30
201603437,30
201603438,30
201603441,25
201603450,30
201603472,30
201603480,30
201603483,30
201603489,30
201603490,30
201603493,30
201603506,30
201603509,30
201603510,30
201603513,30
201603517,21
201603523,30
201603524,30
201603531,30
201603532,30
201603543,30
201603545,30
201603548,30
201603555,30
201603568,20
201603570,30
201603574,30
201603578,30
201603589,30
201603610,25
201603613,25
201603635,26
201603637,20
201603685,30
201603713,30
201603717,20
201603720,28
201603727,30
201603738,21
201603750,30
201603814,0
201603819,20
201610725,30
201610816,30
201610840,16
201610852,30
201610853,28
201610855,18
201610883,30
201610903,13
201610904,0
201610933,26
201610971,30
201610984,30
201611025,20
201611085,30
201611217,30
201611248,30
201611263,26
201616798,21
201616799,30
201616801,0
201616802,30
201616839,30
201616869,30
201616983,30
201616993,16
201680025,26
201680043,30
201680044,30
