CARNET,EXAMEN FINAL 
9610512,14
199910871,16
200611665,20
200614638,0
200722421,20
200915965,18
201013808,12
201210074,20
201220014,14
201310142,21
201310625,17
201310641,11
201317725,0
201318182,11
201321738,12
201321758,0
201330970,21
201340439,15
201345055,12
201400525,21
201404042,12
201407942,15
201408075,14
201408203,15
201408747,12
201411974,20
201413604,10
201413680,9
201413685,11
201501353,15
201502799,21
201502800,9
201502802,19
201502807,12
201502813,19
201502816,17
201502824,22
201502826,19
201502831,22
201502837,4
201502840,18
201502842,21
201502852,17
201502862,25
201502866,9
201502869,23
201502872,18
201502876,0
201502877,21
201502878,14
201502882,19
201502884,16
201502885,17
201502887,20
201502891,17
201502895,19
201502904,16
201502907,27
201502908,17
201502915,16
201502920,9
201502927,19
201502931,18
201502934,15
201502936,14
201502954,21
201502969,15
201502975,11
201502976,23
201502979,14
201502990,17
201502993,22
201503001,17
201503005,19
201503007,22
201503008,18
201503033,19
201503040,21
201503041,22
201503043,18
201503044,19
201503051,16
201503071,16
201503072,13
201503073,15
201503078,19
201503080,16
201503087,12
201503095,15
201503098,21
201503099,15
201503120,25
201503146,18
201503175,0
201503184,19
201503209,16
201503236,15
201503245,13
201503250,17
201503251,19
201503263,20
201503265,15
201503267,19
201503271,11
201503293,18
201503294,17
201503319,0
201503323,11
201503324,17
201503334,8
201503339,15
201503348,14
201503359,14
201513211,13
201513228,17
201513238,15
201513240,15
201513241,18
201513247,13
201513248,20
201513275,18
201513276,17
201513286,16
201513315,18
201513331,15
201513332,7
201513338,16
201513341,11
201513372,12
201513376,12
201513411,19
201513418,17
201513467,8
201513468,12
201513483,18
201513487,19
201513551,19
201513561,21
201516851,16
201516923,17
201516986,13
201517011,11
201580020,17
201580036,15
201580037,18
