CARNET,FINAL
9410032,9
199910032,12
200110946,15
200313810,17
200413941,15
200512346,10
200512348,13
200515207,13
200515227,11
200610529,17
200610666,13
200614307,15
200614313,17
200614392,17
200614704,17
200619653,14
200715426,14
200715464,14
200715606,17
200715624,12
200715642,14
200715656,11
200715723,18
200810476,13
200810484,15
200810494,18
200810572,14
200817606,13
200817607,17
200817675,14
200817775,12
200915798,14
200915813,6
200915816,16
200915828,9
200915866,15
200915876,15
200915884,10
200915920,13
200915930,11
200915934,17
200915973,15
200916057,18
200916154,14
201013348,16
201013355,14
201013367,15
201013386,13
201013407,16
201013408,15
201013418,12
201013445,16
201013451,11
201013465,14
201013486,16
201013487,16
201013549,16
201013563,14
201013579,11
201013582,14
201013594,16
201013595,14
201013597,16
201013665,18
201013687,13
201013688,11
201013783,8
201021750,15
201021812,15
201080015,15
201080039,12
201080042,17
