CARNET,FINAL
9610512,SDE
200722421,5
200915965,20
201013808,SDE
201021501,SDE
201210074,25
201210853,SDE
201211987,16
201220014,22
201310142,26
201310625,12
201310638,SDE
201310641,SDE
201310704,SDE
201317725,SDE
201318155,13
201318182,15
201321738,17
201321744,14
201321754,18
201321823,SDE
201322262,SDE
201330970,30
201340439,SDE
201345055,20
201400370,22
201400465,SDE
201400485,17
201400524,17
201400525,18
201400549,19
201400553,2
201400711,NSP
201400715,18
201400787,SDE
201404042,SDE
201407923,24
201407929,15
201407939,10
201407941,23
201407942,25
201407958,SDE
201407962,27
201407974,SDE
201407994,SDE
201408075,18
201408139,SDE
201408142,19
201408203,12
201408747,SDE
201411974,25
201413622,7
201413680,SDE
201413685,SDE
201415299,17
201480044,20
201501353,24
201502799,29
201502800,18
201502802,25
201502807,29
201502813,25
201502816,26
201502826,15
201502831,22
201502837,SDE
201502840,17
201502842,25
201502852,20
201502862,26
201502866,SDE
201502869,26
201502872,21
201502878,21
201502882,22
201502884,23
201502885,SDE
201502887,20
201502891,25
201502895,7
201502904,SDE
201502907,23
201502908,26
201502915,5
201502920,SDE
201502927,20
201502931,23
201502934,29
201502936,29
201502954,SDE
201502969,16
201502975,22
201502979,27
201502990,25
201502993,28
201503001,17
201503007,21
201503008,29
201503033,23
201503040,27
201503041,27
201503044,22
201503051,23
201503071,SDE
201503072,3
201503073,25
201503078,20
201503080,25
201503087,SDE
201503095,24
201503120,25
201503175,SDE
201503184,24
201503209,21
201503245,SDE
201503250,18
201503251,20
201503263,25
201503265,27
201503267,22
201503271,SDE
201503293,23
201503323,SDE
201503324,23
201503334,SDE
201503339,22
201503348,21
201503359,SDE
201513211,8
201513228,19
201513238,SDE
201513240,11
201513241,2
201513247,18
201513248,28
201513275,22
201513276,18
201513286,24
201513315,12
201513331,25
201513332,SDE
201513338,29
201513341,19
201513372,SDE
201513376,10
201513411,13
201513418,24
201513467,SDE
201513468,10
201513483,24
201513487,24
201513561,28
201516851,15
201516923,27
201516986,19
201517011,0
201580020,24
201580036,27
201580037,22
