Carnet,Examen final
8818125,28
200010198,0
200011847,23
200318850,0
200512358,27
200515350,0
200518107,26
200614400,22
200614626,24
200715463,26
200715500,22
200715765,22
200780043,28
200810495,24
200810590,23
200810599,26
200817609,17
200817640,18
200915854,27
200915895,24
200915988,22
200916143,22
200918192,24
200918196,22
200918257,21
200924182,23
201012302,26
201013353,28
201013442,23
201013475,25
201013477,25
201013479,27
201013609,26
201021738,28
201112041,28
201112094,23
201112131,27
201112136,29
201112170,26
201112200,27
201112233,26
201112274,22
201112278,24
201112291,27
201114635,30
201124099,25
201180038,26
201210538,27
201210557,23
201210563,26
201210565,26
201210602,21
201210646,21
201210650,26
201210674,28
201210675,27
201210681,25
201210695,29
201210702,26
201210706,21
201210709,24
201210710,27
201210715,27
201210718,24
201210739,24
201210742,28
201210754,26
201210756,29
201210773,26
201210778,24
201210783,26
201210794,22
201210834,29
201210882,26
201210905,30
201220328,28
201220335,24
201220354,25
201220425,28
201220445,25
201222437,26
201280028,25
