carnet,examen final
200717835,15
200817572,16
200915981,-1
201013391,8
201013675,-2
201119229,16
201210639,8
201214921,17
201220265,15
201310567,16
201310629,14
201318180,15
201321733,20
201321734,15
201321741,21
201321746,12
201321747,11
201322103,17
201400364,12
201400373,17
201400383,24
201400384,16
201400385,22
201400389,19
201400397,15
201400449,17
201400458,9
201400463,14
201400468,17
201400470,19
201400497,13
201400523,12
201400528,12
201400541,16
201400552,24
201400557,11
201400562,12
201400584,14
201400634,11
201400651,12
201400654,13
201400680,16
201400685,17
201400691,16
201400708,19
201400756,18
201400785,19
201407914,9
201407955,9
201407970,16
201407984,17
201407988,18
200614342,20
200710721,14
200715431,16
200718297,12
200817589,-1
200915932,-1
200916076,12
200918238,12
200921961,11
200942698,6
201013480,16
201013517,9
201112344,15
201119733,19
201210405,15
201210552,18
201210670,-1
201210680,11
201210740,-1
201210758,13
201210772,16
201210858,14
201210912,-2
201310523,25
201310526,10
201310569,13
201310599,5
201310630,15
201310639,14
201310706,12
201310715,18
201315397,18
201318161,6
201318166,18
201318322,5
201318467,15
201318470,16
201400435,20
201400441,16
201400499,17
201400508,11
201400535,17
201400537,14
201400580,20
201400606,16
201400661,20
201400673,19
201400788,17
201407959,9
201408038,16
201413001,13
201413715,16
