carnet,final
199910871,13
200320162,8
200680047,16
200915981,19
200916076,11
200916113,16
200916276,20
200918238,14
200921961,17
200942698,21
201013391,21
201013517,11
201112322,0
201112330,12
201117060,0
201210074,14
201210639,11
201210670,14
201210680,18
201210740,19
201210758,14
201210764,0
201210779,0
201210858,16
201210912,0
201220014,14
201220325,14
201220380,10
201310526,0
201310529,22
201310567,21
201310602,15
201310639,16
201310640,14
201310644,21
201310645,15
201310673,3
201310691,0
201310710,13
201315049,24
201318161,18
201318183,21
201318186,8
201318281,0
201318304,15
201318322,15
201321726,0
201321738,16
201321746,17
201321747,0
201321804,0
201330970,10
201345055,13
201400366,18
201400370,18
201400397,18
201400434,3
201400438,13
201400440,0
201400441,18
201400459,17
201400460,15
201400463,13
201400485,11
201400523,20
201400528,0
201400562,0
201400600,10
201400683,16
201400700,5
201400715,16
201407914,20
201407942,12
201407943,18
201407955,14
201407980,10
201408040,0
201408184,17
201408248,16
201411974,20
201502800,22
201502802,20
201502807,22
201502816,19
201502824,20
201502826,10
201502840,18
201502842,19
201502862,21
201502869,20
201502877,21
201502878,17
201502882,18
201502884,14
201502907,16
201502908,22
201502915,9
201502931,21
201502934,14
201502936,8
201502954,20
201502976,19
201502979,16
201502990,18
201502993,21
201503001,24
201503005,19
201503007,27
201503033,20
201503040,10
201503041,20
201503043,21
201503044,17
201503051,17
201503073,0
201503078,26
201503080,20
201503095,20
201503098,18
201503099,17
201503146,22
201503184,17
201503236,19
201503250,14
201503263,18
201503265,21
201503293,15
201503294,23
201503324,16
201503339,20
201513228,25
201513247,16
201513275,18
201513276,19
201513286,19
201513315,11
201513331,18
201513338,21
201513411,15
201513487,16
201513551,20
201513561,21
201516923,15
201580020,24
201580036,16
201580037,21
