Carnet,Final
200515425,-2
200910790,18
200915940,11
200918238,16
200942698,8
201013480,11
201013758,15
201025011,3
201110186,14
201112045,2
201112052,13
201112176,-1
201112330,16
201117060,15
201119229,21
201210405,22
201210540,15
201210625,5
201210639,21
201210670,8
201210711,13
201210721,5
201210748,7
201210764,8
201210858,10
201210909,18
201214921,20
201220325,11
201220380,25
201310529,-1
201310538,7
201310569,11
201310602,9
201310640,17
201310644,12
201310674,9
201310691,14
201310706,14
201310709,11
201310710,11
201310715,15
201315397,20
201318161,21
201318166,28
201318180,9
201318183,8
201318186,11
201318227,12
201318267,23
201318281,28
201318304,17
201318322,17
201318467,14
201321726,11
201321733,14
201321741,18
201321745,12
201321746,-1
201321747,17
201321775,8
201321804,15
201322103,16
201400364,18
201400366,18
201400373,27
201400383,21
201400384,22
201400385,22
201400389,17
201400397,15
201400427,-1
201400435,17
201400438,7
201400440,13
201400441,15
201400449,17
201400458,18
201400463,15
201400468,25
201400470,18
201400497,14
201400499,13
201400508,15
201400523,14
201400528,11
201400535,22
201400537,26
201400541,25
201400552,11
201400557,27
201400562,16
201400580,24
201400584,17
201400606,20
201400634,15
201400651,15
201400654,21
201400661,22
201400673,13
201400680,23
201400683,11
201400685,22
201400691,9
201400708,20
201400756,13
201400785,18
201400788,23
201407959,16
201407914,26
201407927,18
201407938,8
201407943,18
201407955,21
201407970,18
201407984,14
201407988,13
201408038,18
201413001,15
201413715,23
