Carnet,Final
8816786,12
200012228,11
200210833,12
200210922,12
200410530,14
200515323,13
200516160,12
200610591,13
200610644,14
200715451,12
200715564,12
200715735,12
200715777,14
200718112,12
200810397,12
200810423,19
200810486,15
200810490,17
200810510,16
200810785,11
200810844,15
200817539,14
200910861,15
200915819,17
200915820,16
200915862,13
200915914,11
200915921,12
200915927,10
200915963,10
200915978,12
200916028,10
200916146,14
200916189,16
200916256,13
200918198,17
200918427,11
200980066,14
201012725,15
201013412,15
201013452,16
201013529,12
201013618,12
201013623,14
201013762,10
201013816,17
201021739,16
201112012,17
201112013,17
201112034,15
201112071,14
201112079,14
201112110,16
201112118,11
201112122,14
201112145,16
201112156,12
201112157,15
201112178,17
201112179,15
201112183,16
201112186,15
201112187,16
201112198,17
201112238,16
201112246,16
201112251,16
201112255,16
201112260,15
201112317,11
201112331,18
201112335,14
201119678,16
201119679,12
