carnet,final
198816786,17
200012228,18
200210833,17
200210922,17
200410530,17
200515323,17
200915323,18
200516160,17
200610591,19
200610644,17
200715451,16
200715564,19
200715735,16
200715777,15
200718112,14
200810397,17
200810423,16
200810476,12
200810486,18
200810490,18
200810510,14
200810785,19
200810844,18
200817539,17
200910861,16
200915819,18
200915820,18
200915914,15
200915921,16
200915927,16
200915963,17
200915978,18
200916028,18
200916146,16
200916189,18
200916256,14
200918198,17
200918427,19
200980066,15
201012725,19
201013412,16
201013452,18
201013529,17
201013618,18
201013623,17
201013762,19
201013816,17
201021739,15
201112012,18
201112013,12
201112034,18
201112071,16
201112079,16
201112110,15
201112118,18
201112122,18
201112145,18
201112156,14
201112157,19
201112178,14
201112179,18
201112183,18
201112186,17
201112187,16
201112198,16
201112238,19
201112246,18
201112251,17
201112255,18
201112260,19
201112317,17
201112331,17
201112335,16
201119678,19
201119679,14
