carnet,final
199813214,10
200313754,10
200413951,6
200512351,17
200610921,9
200715618,6
200715722,10
200715791,12
200718236,6
200810431,24
200810517,11
200880028,16
200915864,19
200916143,22
200916289,23
200918254,6
201012065,10
201013417,18
201013785,13
201013689,7
201015329,16
201020026,13
201021737,11
201111964,23
201112081,15
201112149,13
201112161,5
201112184,17
201112248,15
201112270,5
201112350,23
201124083,10
201210553,20
201210562,12
201210617,11
201210642,19
201210645,16
201210673,15
201210674,27
201210682,22
201210705,19
201210732,18
201210766,15
201210823,17
201210847,20
201210870,22
201210897,4
201210900,18
201214713,24
201220212,10
201220297,0
201245563,20
201280026,19
201280027,20
201310522,21
201310541,21
201310551,9
201310562,23
201310564,23
201310568,19
201310571,17
201310575,12
201310594,25
201310596,9
201310612,17
201310613,23
201310621,23
201310648,19
201310654,16
201310657,22
201310667,17
201310669,21
201310670,11
201310676,14
201310682,24
201310688,16
201310697,25
201310699,22
201310700,23
201310703,22
201318169,16
201318215,22
201318218,11
201318347,8
201318376,17
201321724,24
201321729,13
201321740,21
201380007,23
201380027,19
201380041,19
