Carnet,final
200110035,8
200210927,4
200313754,8
200512351,15
200512379,0
200610568,5
200715577,0
200715618,14
200715751,6
200715791,15
200717835,14
200810417,4
200811350,5
200817609,14
200910572,20
200916250,2
200918254,13
200980037,18
201013493,2
201013572,5
201013765,7
201021737,14
201021787,1
201112046,5
201112161,12
201112204,6
201112232,14
201112319,0
201119229,15
201124083,16
201210405,18
201210665,17
201210669,11
201210672,8
201210683,11
201210729,12
201220212,18
201220265,10
201220297,8
201220309,4
201310523,23
201310566,14
201310575,24
201310596,13
201310614,5
201310630,2
201310687,9
201310706,20
201318284,19
201318347,7
201318467,11
201321741,19
201322103,12
201400373,12
201400383,13
201400384,11
201400385,21
201400389,9
201400435,17
201400449,14
201400458,5
201400468,14
201400470,21
201400497,13
201400499,0
201400535,17
201400537,19
201400552,18
201400580,11
201400584,11
201400606,18
201400634,7
201400654,19
201400661,21
201400680,14
201400685,19
201400708,23
201400756,9
201400785,9
201400788,16
201407984,11
201407988,17
201408038,11
201413001,12
