Carnet,Final
200810395,0
200918240,0
201018868,0
201110486,21
201115035,20
201119372,21
201119731,0
201404665,21
201407565,23
201407958,16
201407962,20
201430945,16
201431578,18
201502837,14
201512721,24
201513358,24
201513467,17
201513804,17
201515481,22
201516851,19
201517011,0
201603309,16
201603318,23
201603320,20
201603327,17
201603330,21
201603371,17
201603373,24
201603374,21
201603375,21
201603378,25
201603384,17
201603417,19
201603418,19
201603419,19
201603437,18
201603438,15
201603441,0
201603450,24
201603472,24
201603480,18
201603483,22
201603489,16
201603490,21
201603493,23
201603506,15
201603509,21
201603510,19
201603513,20
201603517,20
201603523,19
201603524,17
201603531,21
201603532,19
201603535,0
201603543,21
201603545,17
201603548,21
201603555,21
201603568,20
201603570,19
201603574,0
201603578,17
201603589,20
201603610,17
201603613,21
201603635,21
201603637,21
201603685,23
201603713,0
201603717,19
201603720,19
201603727,0
201603738,20
201603750,17
201603814,23
201603819,19
201610725,20
201610816,20
201610840,20
201610852,22
201610853,20
201610855,24
201610883,20
201610903,24
201610904,0
201610933,24
201610971,17
201610984,0
201611025,19
201611085,15
201611217,18
201611248,22
201611263,15
201616798,17
201616799,19
201616801,0
201616802,17
201616839,21
201616869,22
201616983,21
201616993,18
201617082,0
201680025,24
201680043,22
201680044,19
